Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,acc,avg_loss,epoch,run,amount_of_data
0.31610838,-1.0335286,-0.59659857,-1.9922093,-0.23538686,-1.3603686,-0.4132035,-2.1831818,-0.22082548,-1.3231589,-0.22689994,-1.5314445,-0.34905827,-0.77312636,-0.32523286,-1.6425537,-0.50648075,9.8,0.19959274,6.0,2.0,0.0
0.3056953,-1.1225262,-0.7335677,-2.1237178,-0.21120538,-1.5096389,-0.28814593,-2.6669073,-0.15043232,-1.470564,-0.25944248,-2.004764,-0.3909291,-1.0354725,-0.40160874,-1.8902906,-0.5629384,11.0,0.19494992,7.0,2.0,0.0
0.3085079,-1.1598049,-0.82960147,-2.3448324,-0.24731512,-1.6868224,-0.41296718,-2.7498894,-0.25693005,-1.6701638,-0.3239882,-2.0309067,-0.5188055,-1.05823,-0.4043264,-2.156409,-0.7119971,13.0,0.1884466,8.0,2.0,0.0
0.30401412,-1.3643367,-0.7878778,-2.6662798,-0.20333666,-1.9570136,-0.28269666,-3.098339,-0.22035806,-1.8593448,-0.2747313,-2.7484605,-0.48706776,-1.3710358,-0.51435566,-2.4293618,-0.81527734,14.8,0.18965319,9.0,2.0,0.0
0.30875608,-1.4392762,-0.8087997,-3.2595284,-0.23249474,-2.2441833,-0.38914734,-3.453025,-0.2728731,-2.0388603,-0.31443724,-3.1640644,-0.46966788,-1.617028,-0.7043214,-2.8191607,-0.9431468,13.0,0.19343513,10.0,2.0,0.0
0.30758741,-1.5890669,-0.88337815,-3.3190138,-0.28017136,-2.2755597,-0.48889768,-3.867364,-0.3460122,-2.2324944,-0.40634817,-4.0374513,-0.5641016,-1.9638325,-0.8097314,-3.601563,-1.3984346,13.8,0.18772072,11.0,2.0,0.0
0.29736143,-1.5984823,-1.0138546,-3.3175032,-0.2679753,-2.3225567,-0.47796574,-3.6784215,-0.3912696,-2.2291822,-0.44803798,-3.9570742,-0.62216556,-1.7674639,-0.8886947,-4.036631,-1.3420689,20.2,0.17465469,12.0,2.0,0.0
0.3039485,-1.7366138,-0.9780085,-3.7193117,-0.33054373,-2.5770278,-0.5573089,-4.40878,-0.28785264,-2.6554275,-0.42452827,-4.948352,-0.79134995,-2.4745007,-0.9378865,-4.163871,-1.3419929,15.2,0.17800717,13.0,2.0,0.0
0.30414253,-1.880858,-1.1422578,-3.7609959,-0.2795774,-2.783666,-0.45799956,-4.4839196,-0.29931945,-2.6600308,-0.49728954,-5.2238245,-0.6676791,-2.4180074,-1.2672176,-4.6356516,-1.6473658,18.6,0.17136414,14.0,2.0,0.0
0.30401897,-1.9002762,-1.3750203,-4.2333493,-0.28590378,-3.101915,-0.5469149,-5.245887,-0.457838,-3.1502924,-0.637244,-5.985885,-0.9271748,-3.2060106,-1.1813818,-5.157992,-1.6877131,19.0,0.16921169,15.0,2.0,0.0
0.30048937,-2.0081854,-1.2866685,-4.1452684,-0.33514377,-3.1273139,-0.45855436,-5.065757,-0.4036014,-2.959132,-0.6456898,-6.853519,-0.7740285,-3.0393646,-1.7557272,-5.504193,-2.0264337,20.0,0.16753913,16.0,2.0,0.0
0.2962743,-2.0343077,-1.4119256,-4.752511,-0.30053315,-3.6160805,-0.565743,-5.9592614,-0.47818032,-3.5078492,-0.7537656,-7.679276,-0.97526884,-3.647742,-1.7186418,-7.017397,-2.2928076,23.6,0.16556738,17.0,2.0,0.0
0.29337353,-2.0733018,-1.4916021,-4.8508453,-0.3153144,-3.8087668,-0.5392815,-6.0023932,-0.4189768,-3.70137,-0.7738643,-8.236241,-0.8330765,-3.7343943,-2.2215507,-7.1738396,-2.548334,21.6,0.16644995,18.0,2.0,0.0
0.30129975,-2.2852087,-1.3968339,-5.352936,-0.33947688,-4.2665653,-0.5505014,-6.4132447,-0.5053123,-3.7676642,-0.8328142,-7.9802523,-1.0871521,-3.6196785,-2.2428257,-7.2057605,-2.6112068,22.4,0.1594708,19.0,2.0,0.0
0.29382378,-2.1456277,-1.6628486,-5.2241497,-0.39871997,-4.19702,-0.63589776,-6.499857,-0.6533726,-3.8089223,-0.9426242,-9.197392,-1.238173,-4.466129,-2.0906456,-7.6124363,-3.165292,23.4,0.16409056,20.0,2.0,0.0
0.29663008,-2.3527877,-1.5596529,-5.333981,-0.31849587,-4.2723627,-0.4995405,-7.094625,-0.46565047,-4.067275,-0.9607815,-9.243142,-1.1506677,-4.2270694,-2.4474516,-8.160442,-3.1658316,25.6,0.15091975,21.0,2.0,0.0
0.2949935,-2.3155098,-1.7961648,-5.3690805,-0.32124072,-4.440095,-0.5670576,-7.6387444,-0.6346236,-4.221061,-1.2023822,-9.524583,-1.3211572,-4.2388024,-3.2042618,-9.9426365,-4.024181,25.8,0.15246561,22.0,2.0,0.0
0.29020843,-2.3522785,-1.9900864,-5.6074934,-0.32974377,-4.531755,-0.72819483,-7.9233227,-0.56397206,-4.4223394,-1.3670838,-10.406906,-1.6531261,-4.8928695,-3.172295,-10.433587,-3.962891,22.6,0.15756498,23.0,2.0,0.0
0.28341344,-2.2334015,-1.999295,-6.0287614,-0.31927505,-4.9897766,-0.7160742,-7.9051623,-0.65124226,-4.4877443,-1.3234705,-11.062528,-1.4810108,-5.7262974,-2.9327216,-9.778818,-4.1724567,27.0,0.14945458,24.0,2.0,0.0
0.28780565,-2.4182763,-1.9059594,-6.3539104,-0.3729991,-5.1865535,-0.6380695,-8.4063,-0.5818027,-4.7544303,-1.5277827,-12.051351,-1.6208013,-5.7102494,-3.724689,-12.234649,-4.827789,30.0,0.15246248,25.0,2.0,0.0
0.2907019,-2.5406835,-1.9422244,-6.547366,-0.35898033,-5.4594398,-0.6983668,-8.553775,-0.63850456,-4.8609695,-1.5883502,-12.494407,-1.9535491,-6.2019033,-3.8466325,-12.020898,-5.0519633,23.6,0.1556292,26.0,2.0,0.0
0.29077533,-2.4138808,-2.2260268,-7.1312456,-0.38886926,-5.924389,-0.8155669,-9.49558,-0.73469436,-5.444491,-1.8872569,-14.174586,-2.0874817,-7.045054,-4.036415,-12.633619,-5.373702,31.4,0.14329521,27.0,2.0,0.0
0.27701524,-2.3060808,-2.463784,-6.9746256,-0.34473026,-5.81592,-0.74900407,-9.401752,-0.63009685,-5.1877494,-2.0335793,-13.926778,-1.9094644,-7.0141807,-4.179657,-13.28645,-5.959218,25.8,0.15549383,28.0,2.0,0.0
0.28511968,-2.4484437,-2.4834404,-7.1139727,-0.44445273,-5.9547644,-0.8656324,-9.772915,-0.6807557,-5.7209387,-2.1211488,-14.680384,-2.0295389,-7.1363196,-4.8108306,-15.302955,-6.0490956,28.4,0.14878145,29.0,2.0,0.0
0.2846507,-2.6487043,-2.14303,-7.214248,-0.4644084,-6.0298643,-0.7606272,-9.465922,-0.7256501,-5.5044813,-2.236788,-15.027824,-2.063676,-7.082912,-5.1496835,-15.628758,-7.080823,30.6,0.14968845,30.0,2.0,0.0
0.29012078,-2.6423333,-2.3785613,-8.080914,-0.4891068,-6.566696,-0.9603713,-10.279534,-0.6840262,-6.0583224,-2.4458697,-17.089481,-2.3718944,-8.368854,-5.350598,-17.467268,-7.3097997,31.6,0.14410749,31.0,2.0,0.0
0.27422675,-2.5534215,-2.5085871,-7.5545554,-0.5190255,-6.128788,-0.9715704,-10.458142,-0.81063855,-5.915799,-2.6457245,-17.556356,-2.5533848,-8.734273,-5.3952823,-18.785227,-8.14925,28.4,0.1473572,32.0,2.0,0.0
0.38699898,-0.012374883,-0.008229818,0.017541582,-0.010878663,0.042124312,-0.040905505,0.004935688,-0.024342302,-0.0044005928,-0.05009409,-0.05209721,-0.089877255,-0.023893803,-0.2443746,-0.068527274,-0.03631914,3.8,0.22802718,0.0,3.0,0.0
0.35102063,-0.7102411,-0.3274596,-0.75417197,-0.4440052,-1.0565821,-0.65946716,-1.1989837,-0.66483915,-1.3596655,-0.54972684,-0.706499,-0.27515882,-0.52323467,-0.24160428,-0.10838278,-0.29171303,2.4,0.21929273,1.0,3.0,0.0
0.31763455,-0.7099704,-0.25964493,-0.97602355,-0.33225387,-1.404189,-0.75936145,-1.7203579,-0.3856276,-1.4642997,-0.2943738,-0.8428544,-0.37781793,-0.61009467,-0.12696126,-0.21768513,-0.27243528,4.2,0.21537487,2.0,3.0,0.0
0.29431543,-0.79290795,-0.3127343,-1.1943649,-0.30540037,-1.3273166,-0.38130528,-1.8355013,-0.43185282,-1.6058732,-0.1512038,-0.9425765,-0.4653018,-0.74820757,-0.18212627,-0.40328756,-0.4152129,6.0,0.2096316,3.0,3.0,0.0
0.31284273,-0.974576,-0.37505987,-1.4241785,-0.4020544,-1.8380381,-0.49877882,-2.3674781,-0.29593378,-1.8705587,-0.36955485,-1.3137597,-0.25977919,-1.0123954,-0.2116935,-0.36282775,-0.47238284,7.2,0.20808049,4.0,3.0,0.0
0.29564694,-0.98140347,-0.38317585,-1.801076,-0.30657804,-1.8306272,-0.34442455,-2.5661147,-0.32360098,-2.0039015,-0.28507605,-1.4339346,-0.41509002,-1.0614463,-0.28021678,-0.6793951,-0.5104751,6.2,0.20425653,5.0,3.0,0.0
0.30918866,-1.1766639,-0.59079564,-1.9983581,-0.3626022,-1.8750899,-0.32807213,-2.8608398,-0.17906591,-2.1214457,-0.29685923,-1.6149406,-0.5390029,-1.0485018,-0.43998244,-0.8002897,-0.6960224,8.2,0.20296597,6.0,3.0,0.0
0.2887182,-1.2283173,-0.4705057,-2.6059864,-0.31961924,-2.1778817,-0.25207883,-3.3211048,-0.28123814,-2.350718,-0.35301983,-2.0359373,-0.8279474,-1.2612236,-0.48347828,-1.1063808,-0.64478093,9.8,0.20074014,7.0,3.0,0.0
